process,folder,is_game
explorer.exe,explorer,0
chrome.exe,chrome,0
obs64.exe,obs64,0
Taskmgr.exe,Taskmgr,0
ApplicationFrameHost.exe,ApplicationFrameHost,0
LockApp.exe,LockApp,0
vncserverui.exe,vncserverui,0
SndVol.exe,SndVol,0
DeadByDaylight-Win64-Shipping.exe,Dead By Daylight,1
SearchHost.exe,SearchHost,0
vlc.exe,vlc,0
Discord.exe,Discord,0
steamwebhelper.exe,steamwebhelper,0
Everything.exe,Everything,0
Battle.net.exe,Battle,0
ModernWarfare.exe,ModernWarfare,1
ScreenClippingHost.exe,ScreenClippingHost,0
firefox.exe,firefox,0
RiotClientUx.exe,RiotClientUx,0
Overwolf.exe,Overwolf,0
DeadByDaylight.exe,DeadByDaylight,0
setup.exe,setup,0
NVIDIA GeForce Experience.exe,NVIDIA GeForce Experience,0
rundll32.exe,rundll32,0
ShellExperienceHost.exe,ShellExperienceHost,0
DCv2.exe,DCv2,0
HWMonitor.exe,HWMonitor,0
StartMenuExperienceHost.exe,StartMenuExperienceHost,0
cpuz.exe,cpuz,0
cpu-z_2.00-en.tmp,cpu-z_2,0
Battle.net-Setup (1).exe,Battle,0
Blizzard Uninstaller.exe,Blizzard Uninstaller,0
upc.exe,upc,0
steam.exe,steam,0
GalaxyClient.exe,GalaxyClient,0
EpicGamesLauncher.exe,EpicGamesLauncher,0
gfclient.exe,gfclient,0
GOG Galaxy Notifications Renderer.exe,GOG Galaxy Notifications Renderer,0
NVIDIA Share.exe,NVIDIA Share,0
Unity Hub.exe,Unity Hub,0
Unity.exe,Unity,0
OpenWith.exe,OpenWith,0
WindowsTerminal.exe,WindowsTerminal,0
pythonw.exe,pythonw,0
WINWORD.EXE,WINWORD,0
LeagueClientUx.exe,LeagueClientUx,1
updater.exe,updater,0
GitHubDesktop.exe,GitHubDesktop,0
WhatsApp.exe,WhatsApp,0
EXCEL.EXE,EXCEL,0
Zoom.exe,Zoom,0
vcredist_x86.exe,vcredist_x86,0
IriunWebcam-2.7.2.tmp,IriunWebcam-2,0
IriunWebcam.exe,IriunWebcam,0
lghub.exe,lghub,0
nircmd.exe,nircmd,0
GLB6258.tmp,GLB6258,0
irsetup.exe,irsetup,0
PIANIS~1.EXE,PIANIS~1,0
GenericSetup.exe,GenericSetup,0
r5apex.exe,r5apex,1
